Código,Título,Publicação,Caderno,Página,Tamanho,Assunto,Resumo,Tipologia,Tipologia_Editorial,Política_Externa,G_x_N,Norte__Sul,Sul__Sul,Negociações,Atitude,Univers_x_Reg,Estados_Unidos,China,Argentina,Venezuela,Bolivia,Cuba,União_Européia,Índia,Irã,Palestina,Rússia,África_do_Sul,África,Ásia,Oriente_Médio,África_Portuguesa,Protagonismo,OMC,ONU,G20,FMI,Banco_Mundial,OEA,IBAS,BRICS,BASIC,Mercosul,Unasul,CELAC,Reformas,Controle_do_Comércio_de_Armas,Natureza_da_Negociação,Regime_de_Mudança_Climática,Desenvolvimento_Sustentável,TNP,Negociações_com_o_Irã,Ministério,Ministro,Presidencial
OG 15.02.24 (2),Corpo estranho à língua portuguesa,Opinião,Primeiro,15,3860,CLPL,"A financiadora do Beija-flor, Guiné Equatorial entrou para a CLPL com a ajuda do BR. Não é um país de língua portuguesa, porém produz petróleo e a CLPL poderia estar sucumbindo aos interesses econômicos. A CLPL é importante para a imagem do BR",1,2,0,1,9,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
ESP 15-09-04 (1),O clima não admite mais postergações,ESP,A,2,5740,Conferência do Clima em Paris,Medidas internas e postura do Brasil em questões climáticas,2,2,0,1,9,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,9,9,9,9,9
ESP 15-09-15 (1),O futuro do agronegocio é agora,ESP,A,2,5780,Conferência do Clima em Paris,Importancia das questões climáticas para o Brasil e papel do agronegocio,2,2,0,1,9,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,9,9,9,9,9
ESP 15-09-18 (1),"Hoje, como ontem. E amanhã, como será?",ESP,A,2,5741,Conferência do Clima em Paris,Papel do Brasil em questões climáticas,2,2,0,1,9,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,9,9,9,9,9
ESP 15-10-05 (2),Timidas metas,ESP,A,3,3874,Conferência do Clima em Paris,Metas brasileiras em questões climáticas são pequenas,2,1,2,1,9,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,9,9,9,9,9
ESP 15-10-19 (1),Mudanças climáticas e inovação,ESP,A,2,5666,Conferência do Clima em Paris,Brasil deve assumir papel de liderança nas conferencias do clima,2,2,0,1,9,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,9,9,9,9,9
ESP 15-12-02 (1),"Brasil, uma vergonha lá fora e outra
aqui dentro",ESP,A,2,6000,Conferência do Clima em Paris,Descuido brasileiro na preservação do meio-ambiente e participação da COP-21,2,2,2,1,9,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,9,9,9,9,2
FSP 15.09.11 (1),Florestas brasileiras na COP 21,Tendências e Debates,Primeiro Caderno,3,3246,Conferência do Clima em Paris,Importantes eventos ambientais em breve. Brasil deve contribuir na COP 21 com compromisso de redução de emissões. Outras iniciativas: negociação de crédito de carbono florestal. Entraves ao plantio de floresta e sustentabilidade são realidades,4,2,0,1,9,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,9,9,1,9,9
FSP 15.09.23 (1),Desmatamento Zero,Opinião,Primeiro Caderno,2,2497,Conferência do Clima em Paris,"Editorial destaca devastação ainda grande na Amazônia e sobretudo no cerrado. País deve se comprometer com metas ousadas para  COP21. Dilma caminha para desmate ilegal zero, difícil eliminar desmate legal. Ousadia improvável: erros e hesitação",4,1,2,1,9,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,9,9,0,9,9
FSP 15.09.28 (1),"Apesar de avanço com clima, país já fez mais",Mundo,Primeiro Caderno,11,4555,Conferência do Clima em Paris,"INDC (contribuição pretendida) do Brasil é animadora, primeiro país em desenvolvimento a assumir um objetivo de redução absoluta de emissões. Mas não há indícios concretos de esforço adicional: metas setoriais fracas. Poupar agora e gastar com",4,2,2,1,9,9,3,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,9,9,2,9,9
FSP 15.09.29 (1),O Brasil em Paris,Opinião,Primeiro Caderno,2,2800,Conferência do Clima em Paris,"Editorial reconhece que o Brasil tem uma atitude mais avançada que a de outras nações, ricas e emergentes; pela primeira vez grande emergente adota metas de redução absoluta com percentuais altos. Reunião da COP21: responsabilidades comuns mas",4,1,1,1,9,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,9,9,3,1,1,9,9,0,9,9
FSP 15.10.01 (1),A Lógica do Jogo,Opinião,Primeiro Caderno,2,2540,Conferência do Clima em Paris,"Spektor destaca que EUA e China buscar tomar rédeas do regime ambiental global. Brasil é um dos únicos a assumir meta absoluta de redução de emissões: permitirá alavancagem nas negociações. Obstáculos: desmate ilegal, regras de conteúdo naciona",4,2,2,1,9,9,3,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,9,9,9,9,9
FSP 15.12.14 (1),Acordo de Paris,Opinião,Primeiro Caderno,2,2614,Conferência do Clima em Paris,"Duas trajetórias conflitantes Aprofunda-se o processo de transição energética, dos fósseis para renováveis, mas não em tempo de manter a atmosfera na rota almejada. Ou combustíveis fósseis seguem reinando. Governo brasileiro ainda aposta fundo",4,1,1,1,1,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,0,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,9,9,9,9,9
FSP 15.12.18 (1),Bom senso de Paris,Mercado,Primeiro Caderno,22,3631,Conferência do Clima em Paris,COP 21 Inédita participação ativa do BR: potencial desperdiçado pela nossa diplomacia para atuar em fóruns internacionais. Necessário relançar presença brasileira: participar da elaboração de mega-acordos comerciais que determinarão os padrões,4,2,2,1,1,1,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,2,9,0
FSP 15.12.20 (1),Cumprir o acordo climático fechado em Paris será caro e difícil,Mundo,Primeiro Caderno,17,3759,Conferência do Clima em Paris,Otimismo COP21: países ricos renovaram o compromisso de alcançar US$ 100 bi/ano em ajuda aos mais pobres com mudanças do clima. Descompasso intenções e ações palpáveis. BR se comprometeu mas Dilma não apresentou o custo para tornar realidade es,4,2,0,1,9,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,9,9,9,9,2
OG 15.09.30 (2),Ambição,Opinião,Primeiro,17,2782,Conferência do Clima em Paris,"A meta brasileira de redução de emissão é uma medida acertada, na direção correta e que reposiciona o Brasil novamente como protagonista na construção do novo Acordo Climático Global.",1,2,1,1,9,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,9,9,9,9,9,0
VLR 15-10-20 (1),Desenvolvimento sustentável exige compromisso global,VLR,A,5,4902,Conferência do Clima em Paris,Atuação do Brasil para promoção de acordo efetiva em questões climáticas,3,2,1,1,9,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,1
VLR 15-10-29 (1),Compromisso climático do Brasil quebra tabu,VLR,A,6,4900,Conferência do Clima em Paris,medidas internas do Brasil e projeção de liderança internacional do país em questões climáticas,3,2,1,1,9,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,9,9,9,9,9
VLR 15-11-19 (1),"Indústria brasileira tem de liderar ação climática, diz Izabella",VLR,A,10,16947,Conferência do Clima em Paris,Brasil deve ecercer protagonismo na Conferencia do Clima em Paris,3,2,1,1,9,1,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,1,9,1,9,9,9,9,9,9,9,9,9,9,1,9,3,1,1,9,9,9,9,9
VLR 15-12-23 (2),O enigma de Paris,VLR,A,6,6276,Conferência do Clima em Paris,Necessidade de por em prática o acordo,3,2,0,1,9,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,9,9,9,9,9
ESP 15-10-23 (1),Olhar a pobreza do mundo,ESP,A,2,5705,Crise de Refugiados,"Brasil deve receber muitos refugiados, necessidade de politica",2,2,0,1,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
FSP 15.09.14 (1),Problema Mundial,Opinião,Primeiro Caderno,2,2439,Crise de Refugiados,"Editorial aborda o problema agravado na Europa da crise de refugiados, sem uma resposta unificada. Crise global, todos os países devem colaborar com esforço humanitário. Brasil elogiado por receber milhares de sírios e pretende ampliar esforços",4,1,0,1,9,1,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
FSP 15.12.01 (1),Rejeitar não é combater o terror,Tendências e Debates,Primeiro Caderno,3,3222,Crise de Refugiados,"Terrorismo: reação violenta sem respeito a direitos humanos, enfraquece política humanitária para refugiados. BR aberto a refugiados. Preciso esforço organizado p/promover integração. Líderes regionais como BR: momento de firmeza em valores fun",4,2,1,1,9,1,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1
ESP 15-09-29 (1),"Na Venezuela, a hora mais grave",ESP,A,2,5856,Crise na Venezuela,Papel no Brasil em defesa da democracia,2,2,0,1,9,9,9,1,1,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,0,9,9,9,9,0,9,1,9,9,9,9,9,9,1,9,0
ESP 15-10-22 (1),Maduro escancara a ditadura,ESP,A,3,3913,Crise na Venezuela,Brasil deve defender democracia na Venezuela,2,1,2,1,9,9,9,1,1,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2
ESP 15-10-27 (1),Diplomacia Impudica,ESP,A,3,3803,Crise na Venezuela,Brasil deve defender democracia na Venezuela,2,1,2,1,9,9,9,1,1,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2
ESP 15-10-31 (1),Venezuela – o prelúdio das fraudes,ESP,A,2,5789,Crise na Venezuela,Brasil deve defender democracia na Venezuela,2,2,2,1,9,2,9,1,1,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2
ESP 15-12-04 (1),Democracia ‘hipotética’,ESP,A,3,4087,Crise na Venezuela,Brasil deve condenar violações a clausulas democráticas na Venezuela,2,1,2,1,9,9,9,9,1,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2
FSP 15.09.03 (1),Na fronteira,Opinião,Primeiro Caderno,2,2607,Crise na Venezuela,"Situação conflituosa na fronteira da Colômbia com a Venezuela pode se tornar uma crise humanitária segundo Spektor. Brasil tem medo de adotar posição forte contrária à Venezuela, então deveria tomar decisões sutis: visita de Dilma à Colômbia",4,2,2,9,9,1,1,1,2,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
FSP 15.09.07 (1),O Brasil não pode ser neutro,Mundo,Primeiro Caderno,11,3027,Crise na Venezuela,"Clovis Rossi trata dos reparos na posição da diplomacia brasileira no diálogo Colômbia-Venezuela: Brasil não pode se abster, não pode demorar, não pode conceder tratamento igualitário às partes. Itamaraty não pode renunciar a princípios do Bras",4,2,2,9,9,1,1,1,2,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9
FSP 15.09.17 (1),Missão Impossível,Opinião,Primeiro Caderno,2,2603,Crise na Venezuela,"Spektor avalia o envio especial de Nelson Jobim à Venezuela como ótima indicação, mas mesmo sendo um nome com autonomia no governo sua missão é quase impossível: faltam instrumentos para influenciar a Venezuela e governo brasileiro se cala.",4,2,2,9,9,1,1,1,2,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9
FSP 15.09.17 (2),Brasil tem Medo de Maduro,Mundo,Primeiro Caderno,12,2963,Crise na Venezuela,"Clóvis Rossi: o Itamaraty teme a irracionalidade do governo Maduro, vergonhoso silêncio. Qualquer manifestação brasileira poderia conduzir ao rompimento de relações, lamentável: BR abdica do papel de liderança esperados. Omissão acaba sendo um",4,2,2,9,9,1,9,1,2,9,9,9,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9
FSP 15.09.21 (1),"Anão diplomático, o retorno",Mundo,Primeiro Caderno,11,2797,Crise na Venezuela,Brasil é um anão diplomático ao se tornar hoje por conta da crise interna secundário em reuniões e conflitos regionais. Silêncio inexplicável após fechamento da fronteira Ven-Col. Postura prejudica prioridade do Itamaraty de integração sul-amer,4,2,0,9,9,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
FSP 15.10.19 (2),Venezuela veta Nelson Jobim como chefe de observadores de eleição,Mundo,Primeiro Caderno,20,3187,Crise na Venezuela,"A Venezuela impôs um veto branco ao nome de Nelson Jobim, indicado pelo Brasil para chefiar a missão de observadores da Unasul. Atrasa envio da delegação, e novo observador é dito próximo do bolivarianismo: dificilmente será aceito pela oposiçã",4,2,0,1,9,1,1,9,2,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
FSP 15.10.26 (1),O que a Venezuela quer esconder do Clóvis Rossi,Mundo,Primeiro Caderno,12,3033,Crise na Venezuela,"Venezuela impõe obstáculos até à Unasul, amiga/omissa ante os desmandos do bolivarianismo. TSE brasileiro previa iniciar o processo de observação eleitoral na Venezuela mas houve várias manobras protelatórias. Desistência do TSE: perdida valios",4,2,0,9,9,9,1,1,2,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,0,9,9
FSP 15.11.05 (1),Venezuela desafia Dilma,Mundo,Primeiro Caderno,15,2818,Crise na Venezuela,"Para Rossi, Missão de observação da Unasul condenada a turismo eleitoral. Não há imunidades e privilégios, missão observadora perderá eficácia. Sem um monitoramento crível, não há nem credibilidade nem transparência inaceitavel governo brasilei",4,2,2,9,0,1,9,1,2,0,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,1,9,9,9,9,9,9,9,9,2,9,2
FSP 15.11.11 (1),Incômodo vizinho,Opinião,Primeiro Caderno,2,2407,Crise na Venezuela,"Unasul confirmou envio de observadores à Venezuela para monitorar a eleição parlamentar, missão não terácondiçõesde efetuar inspeção crível: não há tempo e faltam garantias p/ o exercício monitoramento. Solapa credibilidade da Unasul e regras d",4,1,2,9,9,1,2,1,2,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,9,9,9,9,9,9,9,9,0,9,9
FSP 15.11.20 (1),Secretário da Unasul nega veto a Jobim para missão eleitoral na Venezuela,Mundo,Primeiro Caderno,15,3787,Crise na Venezuela,Entrevista secretário-geral UNASUL. Caso Jobim foi tempestade em copo d'água. Espera que TSE recue da decisão de boicote à missão eleitoral na Venezuela.,4,2,0,9,9,1,2,1,2,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9
FSP 15.12.06 (1),"As ideias, não os motivos",Mundo,Primeiro Caderno,16,3788,Crise na Venezuela,"Rev. bolivariana legitimidade vitórias eleitorais, autoritária enraizamento no aparelho de Estado. Arg e BR: apoio. Macri: aplicação da cláusula democrática do Mercosul. O lulopetismo compartilha com o regime chavista uma aversão à pluralidade",4,2,2,1,9,1,1,9,2,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,2,9,2
FSP 15.12.06 (2),"Brasil, salve a Venezuela",Mundo,Primeiro Caderno,17,3009,Crise na Venezuela,"Itamaraty: inusual nota sobre eleições, cautela diplomática, mas alerta Maduro. Tardia: governo inclinou-se a seu favor durante a campanha. Mas necessária: BR tem interesse geopolítico, empresas públicas da Ven. devem US$ 2,5 bi a companhias br",4,2,2,9,9,1,1,9,2,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,2
FSP 15.12.28 (1),Pressão sobre a Venezuela,Opinião,Primeiro Caderno,2,2399,Crise na Venezuela,"Direitos humanos beira inegociável, bem-vinda a inflexão do Mercosul à Venezuela. BR evitou defesa explícita. Diplomacia do BR mais útil atuando perto da Venezuela que engrossando o crescente coro de críticos veementes. Compete pressionar sem c",4,1,2,9,9,9,2,9,2,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,2,9,2
